Date,Grade,Price
2017-06,5,10.0
2017-07,5,10.0
2017-08,5,9.99
2017-09,5,9.99
2017-10,5,9.99
2017-11,5,24.95
2017-12,5,24.95
2018-01,5,18.0
2018-02,5,18.244999999999997
2018-03,5,15.5
2018-04,5,19.99
2018-05,5,28.0
2018-06,5,28.0
2018-07,5,28.0
2018-08,5,46.0
2018-09,5,46.0
2018-10,5,46.0
2018-11,5,46.0
2018-12,5,46.0
2019-01,5,46.0
2019-02,5,46.0
2019-03,5,25.0
2019-04,5,25.0
2019-05,5,25.0
2019-06,5,25.0
2019-07,5,25.0
2019-08,5,25.0
2019-09,5,25.0
2019-10,5,34.99
2019-11,5,34.99
2019-12,5,34.99
2020-01,5,34.99
2020-02,5,34.99
2020-03,5,34.99
2020-04,5,34.99
2020-05,5,53.99666666666667
2020-06,5,61.666666666666664
2020-07,5,115.0
2020-08,5,81.24833333333333
2020-09,5,93.0
2020-10,5,709.768
2020-11,5,226.95454545454547
2020-12,5,128.11599999999999
2021-01,5,155.22727272727272
2021-02,5,173.66666666666666
2021-03,5,153.875
2021-04,5,153.0
2021-05,5,132.38
2021-06,5,89.8375
2021-07,5,89.8375
2021-08,5,107.377
2021-09,5,107.377
2021-10,5,85.66666666666667
2021-11,5,50.5
2021-12,5,61.75
2022-01,5,75.0
2022-02,5,82.5
2022-03,5,82.5
2022-04,5,82.5
2022-05,5,82.5
2022-06,5,65.0
2022-07,5,65.0
2022-08,5,65.0
2022-09,5,55.836
2022-10,5,63.0
2022-11,5,56.0
2022-12,5,56.0
2023-01,5,63.03666666666667
2023-02,5,63.03666666666667
2023-03,5,57.666666666666664
2023-04,5,59.666666666666664
2016-10,6,18.25
2016-11,6,18.25
2016-12,6,24.99
2017-01,6,24.99
2017-02,6,24.99
2017-03,6,24.99
2017-04,6,25.0
2017-05,6,19.276666666666667
2017-06,6,18.494999999999997
2017-07,6,49.99
2017-08,6,29.95
2017-09,6,40.0
2017-10,6,17.0
2017-11,6,17.0
2017-12,6,30.0
2018-01,6,20.0
2018-02,6,47.0
2018-03,6,47.0
2018-04,6,25.1125
2018-05,6,25.1125
