Date,Grade,Price
2017-07,7,22.0
2017-08,7,22.0
2017-09,7,22.0
2017-10,7,14.25
2017-11,7,18.494999999999997
2017-12,7,3.25
2018-01,7,22.975
2018-02,7,22.975
2018-03,7,18.16333333333333
2018-04,7,39.99
2018-05,7,39.99
2018-06,7,24.99
2018-07,7,24.99
2018-08,7,24.99
2018-09,7,35.99
2018-10,7,35.99
2018-11,7,35.99
2018-12,7,35.99
2019-01,7,16.25
2019-02,7,12.299999999999999
2019-03,7,12.25
2019-04,7,17.494999999999997
2019-05,7,16.5
2019-06,7,16.5
2019-07,7,12.5
2019-08,7,29.99
2019-09,7,29.99
2019-10,7,21.0
2019-11,7,21.0
2019-12,7,21.0
2020-01,7,21.0
2020-02,7,13.5
2020-03,7,13.5
2020-04,7,13.5
2020-05,7,75.5
2020-06,7,64.0
2020-07,7,69.99333333333333
2020-08,7,69.99333333333333
2020-09,7,91.0
2020-10,7,277.02733333333333
2020-11,7,126.25
2020-12,7,126.5
2021-01,7,113.39555555555555
2021-02,7,114.5
2021-03,7,125.69666666666667
2021-04,7,125.69666666666667
2021-05,7,125.69666666666667
2021-06,7,125.69666666666667
2021-07,7,81.26
2021-08,7,73.33333333333333
2021-09,7,65.0
2021-10,7,65.0
2021-11,7,65.0
2021-12,7,53.666666666666664
2022-01,7,53.666666666666664
2022-02,7,53.666666666666664
2022-03,7,53.666666666666664
2022-04,7,53.666666666666664
2022-05,7,102.5
2022-06,7,102.5
2022-07,7,102.5
2022-08,7,102.5
2022-09,7,102.5
2022-10,7,55.21
2022-11,7,51.02
2022-12,7,51.02
2023-01,7,45.28
2023-02,7,45.28
2023-03,7,47.660000000000004
2017-02,8,14.0
2017-03,8,9.59
2017-04,8,13.483333333333334
2017-05,8,13.144
2017-06,8,16.24625
2017-07,8,22.494999999999997
2017-08,8,14.684999999999999
2017-09,8,9.17
2017-10,8,16.8125
2017-11,8,15.725
2017-12,8,14.182500000000001
2018-01,8,28.48428571428571
2018-02,8,16.18111111111111
2018-03,8,20.4
2018-04,8,32.15625
2018-05,8,14.166666666666666
2018-06,8,18.787142857142857
2018-07,8,18.571428571428573
2018-08,8,22.302
2018-09,8,22.302
2018-10,8,21.25
2018-11,8,21.25
2018-12,8,21.25
2019-01,8,24.26
2019-02,8,26.01
2019-03,8,16.996666666666666
2019-04,8,20.22
2019-05,8,39.24
2019-06,8,25.9975
2019-07,8,20.083333333333332
2019-08,8,92.625
2019-09,8,40.0
2019-10,8,18.5
2019-11,8,40.53
2019-12,8,28.7025
2020-01,8,29.99
2020-02,8,49.995000000000005
2020-03,8,31.008
2020-04,8,43.07142857142857
2020-05,8,62.18
2020-06,8,82.27
2020-07,8,86.798
2020-08,8,125.53777777777776
2020-09,8,91.61444444444444
2020-10,8,386.5382352941176
2020-11,8,265.6057777777778
2020-12,8,143.87375
2021-01,8,176.27823529411765
2021-02,8,242.45571428571427
2021-03,8,210.3967441860465
2021-04,8,210.3967441860465
2021-05,8,210.3967441860465
2021-06,8,455.2114285714286
2021-07,8,123.56611111111111
2021-08,8,100.62333333333333
2021-09,8,89.86875
2021-10,8,89.86875
2021-11,8,89.86875
2021-12,8,79.75583333333333
2022-01,8,79.75583333333333
2022-02,8,79.75583333333333
2022-03,8,79.75583333333333
2022-04,8,79.75583333333333
2022-05,8,75.85111111111111
2022-06,8,55.405
2022-07,8,55.405
2022-08,8,55.405
2022-09,8,71.00142857142858
2022-10,8,62.0
2022-11,8,62.010000000000005
2022-12,8,62.010000000000005
2023-01,8,52.425555555555555
2023-02,8,52.425555555555555
2023-03,8,70.445
2016-12,9,57.9675
2017-01,9,50.44444444444444
2017-02,9,29.9
2017-03,9,20.793333333333333
2017-04,9,24.525714285714287
2017-05,9,26.525
2017-06,9,26.232
2017-07,9,37.00266666666666
2017-08,9,22.64923076923077
2017-09,9,24.656666666666666
2017-10,9,23.085
2017-11,9,27.145
2017-12,9,40.75642857142857
2018-01,9,26.567
2018-02,9,40.176153846153845
2018-03,9,27.133636363636366
2018-04,9,57.394999999999996
2018-05,9,44.87925925925926
2018-06,9,38.651538461538465
2018-07,9,31.9556
2018-08,9,31.25230769230769
2018-09,9,29.395
2018-10,9,42.84
2018-11,9,27.496666666666666
2018-12,9,26.333333333333332
2019-01,9,27.509999999999998
2019-02,9,24.74857142857143
2019-03,9,26.87375
2019-04,9,27.91235294117647
2019-05,9,32.4
2019-06,9,32.69857142857143
2019-07,9,38.678333333333335
2019-08,9,38.528
2019-09,9,39.01875
2019-10,9,38.16230769230769
2019-11,9,31.5
2019-12,9,40.42375
2020-01,9,52.41384615384615
2020-02,9,41.688
2020-03,9,53.357272727272736
2020-04,9,87.4876
2020-05,9,119.74666666666667
2020-06,9,104.57960000000001
2020-07,9,145.8760606060606
2020-08,9,169.76029411764708
2020-09,9,187.92689655172416
2020-10,9,611.5125
2020-11,9,520.4962711864407
2020-12,9,357.3469230769231
2021-01,9,309.1548192771084
2021-02,9,392.1381818181818
2021-03,9,321.98075
2021-04,9,321.98075
2021-05,9,321.98075
2021-06,9,235.07470588235293
2021-07,9,178.34040000000002
2021-08,9,199.93
2021-09,9,166.49916666666667
2021-10,9,166.49916666666667
2021-11,9,166.49916666666667
2021-12,9,141.26666666666668
2022-01,9,141.26666666666668
2022-02,9,129.66
2022-03,9,122.5
2022-04,9,345.0
2022-05,9,111.57142857142857
2022-06,9,110.0
2022-07,9,110.0
2022-08,9,110.0
2022-09,9,166.8665
2022-10,9,112.91666666666667
2022-11,9,110.2575
2022-12,9,110.2575
2023-01,9,96.5475
2023-02,9,96.5475
2023-03,9,99.59750000000001
2016-12,10,378.66333333333336
2017-01,10,380.0
2017-02,10,390.71166666666664
2017-03,10,390.71166666666664
2017-04,10,308.61
2017-05,10,308.61
2017-06,10,250.298
2017-07,10,247.5
2017-08,10,244.16666666666666
2017-09,10,350.0
2017-10,10,94.0
2017-11,10,299.995
2017-12,10,254.5
2018-01,10,79.5
2018-02,10,268.3333333333333
2018-03,10,190.33333333333334
2018-04,10,170.16666666666666
2018-05,10,170.16666666666666
2018-06,10,212.28555555555556
2018-07,10,217.5
2018-08,10,329.775
2018-09,10,329.775
2018-10,10,329.775
2018-11,10,329.775
2018-12,10,329.775
2019-01,10,300.0
2019-02,10,300.0
2019-03,10,224.99
2019-04,10,224.99
2019-05,10,224.99
2019-06,10,211.525
2019-07,10,255.0
2019-08,10,255.0
2019-09,10,255.0
2019-10,10,255.0
2019-11,10,350.0
2019-12,10,295.0
2020-01,10,295.0
2020-02,10,295.0
2020-03,10,295.0
2020-04,10,499.99
2020-05,10,499.99
2020-06,10,1200.0
2020-07,10,925.0
2020-08,10,1899.9833333333333
2020-09,10,1899.9833333333333
2020-10,10,4745.0
2020-11,10,5840.0
2020-12,10,5840.0
2021-01,10,4071.105
2021-02,10,4071.105
2021-03,10,4272.0
2021-04,10,4272.0
2021-05,10,4272.0
2021-06,10,4272.0
2021-07,10,4272.0
2021-08,10,4272.0
2021-09,10,750.0
2021-10,10,750.0
2021-11,10,750.0
2021-12,10,750.0
2022-01,10,750.0
2022-02,10,1925.0
2022-03,10,1925.0
2022-04,10,1925.0
2022-05,10,1925.0
2022-06,10,1925.0
2022-07,10,1925.0
2022-08,10,1925.0
2022-09,10,1925.0
2022-10,10,1925.0
2022-11,10,1925.0
2022-12,10,1925.0
2023-01,10,1750.0
