Date,Grade,Price
2020-03,8,295.0
2020-04,8,225.0
2020-05,8,225.0
2020-06,8,225.0
2020-07,8,530.0
2020-08,8,405.0
2020-09,8,483.0
2020-10,8,500.0
2020-11,8,426.424
2020-12,8,395.0
2021-01,8,441.8
2021-02,8,505.0
2021-03,8,505.0
2021-04,8,505.0
2021-05,8,505.0
2021-06,8,505.0
2021-07,8,362.5
2021-08,8,362.5
2021-09,8,284.995
2021-10,8,208.75
2021-11,8,264.0
2021-12,8,300.0
2022-01,8,265.32
2022-02,8,1580.0
2022-03,8,1580.0
2022-04,8,1580.0
2022-05,8,1580.0
2022-06,8,49.0
2022-07,8,49.0
2022-08,8,49.0
2022-09,8,210.0
2022-10,8,200.875
2022-11,8,200.875
2022-12,8,200.875
2023-01,8,261.0
2023-02,8,261.0
2023-03,8,203.19
2023-04,8,286.14
2019-11,9,358.51666666666665
2019-12,9,308.3333333333333
2020-01,9,305.76
2020-02,9,237.5
2020-03,9,292.18625
2020-04,9,355.885
2020-05,9,416.55555555555554
2020-06,9,537.3154545454546
2020-07,9,785.3636363636364
2020-08,9,659.23
2020-09,9,656.9412
2020-10,9,693.4165384615385
2020-11,9,606.7025
2020-12,9,480.832
2021-01,9,588.0538709677419
2021-02,9,633.4196774193548
2021-03,9,626.4285714285714
2021-04,9,626.4285714285714
2021-05,9,626.4285714285714
2021-06,9,626.4285714285714
2021-07,9,433.7
2021-08,9,427.42266666666666
2021-09,9,410.66499999999996
2021-10,9,331.8888888888889
2021-11,9,358.6027272727273
2021-12,9,355.6363636363636
2022-01,9,379.39818181818185
2022-02,9,365.0
2022-03,9,365.0
2022-04,9,365.0
2022-05,9,364.5
2022-06,9,364.5
2022-07,9,364.5
2022-08,9,364.5
2022-09,9,290.0
2022-10,9,310.60714285714283
2022-11,9,308.95500000000004
2022-12,9,308.95500000000004
2023-01,9,326.1111111111111
2023-02,9,326.1111111111111
2023-03,9,313.775
2023-04,9,353.7125
2019-09,10,1084.0
2019-10,10,649.7061111111111
2019-11,10,543.1
2019-12,10,482.5192307692308
2020-01,10,499.8988888888889
2020-02,10,496.6771428571428
2020-03,10,511.198
2020-04,10,612.9273333333333
2020-05,10,837.4433333333334
2020-06,10,1126.826896551724
2020-07,10,1546.5551162790696
2020-08,10,1343.7369047619047
2020-09,10,1315.735
2020-10,10,1444.0313461538462
2020-11,10,1227.3357575757577
2020-12,10,1057.9989655172415
2021-01,10,1216.130612244898
2021-02,10,1511.2018181818182
2021-03,10,1480.0
2021-04,10,1480.0
2021-05,10,1480.0
2021-06,10,1480.0
2021-07,10,930.854
2021-08,10,990.8990476190477
2021-09,10,876.8883333333333
2021-10,10,858.7685714285715
2021-11,10,838.0422222222222
2021-12,10,799.6923076923077
2022-01,10,825.625
2022-02,10,932.5
2022-03,10,932.5
2022-04,10,932.5
2022-05,10,750.0
2022-06,10,773.3333333333334
2022-07,10,773.3333333333334
2022-08,10,773.3333333333334
2022-09,10,882.2614285714286
2022-10,10,731.7718181818182
2022-11,10,706.6666666666666
2022-12,10,706.6666666666666
2023-01,10,705.1853333333333
2023-02,10,705.1853333333333
2023-03,10,670.5885714285714
2023-04,10,745.7175
