Date,Grade,Price
2020-09,9,202.995
2020-10,9,222.85176470588235
2020-11,9,165.83444444444444
2020-12,9,139.702
2021-01,9,165.90842105263158
2021-02,9,202.063125
2021-03,9,166.198
2021-04,9,166.198
2021-05,9,166.198
2021-06,9,166.198
2021-07,9,114.902
2021-08,9,124.72
2021-09,9,75.525
2021-10,9,112.57000000000001
2021-11,9,101.675
2021-12,9,75.804
2022-01,9,82.5
2022-02,9,95.875
2022-03,9,95.875
2022-04,9,95.875
2022-05,9,76.01
2022-06,9,66.0
2022-07,9,66.0
2022-08,9,66.0
2022-09,9,70.0
2022-10,9,60.85
2022-11,9,51.0
2022-12,9,51.0
2023-01,9,49.02285714285715
2023-02,9,49.02285714285715
2023-03,9,42.0
2020-09,10,552.9554285714286
2020-10,10,501.5961764705882
2020-11,10,390.3684251968504
2020-12,10,311.36815789473684
2021-01,10,317.8355714285714
2021-02,10,319.8524590163934
2021-03,10,345.1666666666667
2021-04,10,345.1666666666667
2021-05,10,345.1666666666667
2021-06,10,345.1666666666667
2021-07,10,227.42736842105262
2021-08,10,215.73388888888888
2021-09,10,197.12842105263158
2021-10,10,186.7132
2021-11,10,183.28333333333333
2021-12,10,162.80684210526314
2022-01,10,165.89000000000001
2022-02,10,156.8
2022-03,10,156.8
2022-04,10,156.8
2022-05,10,124.756
2022-06,10,119.5
2022-07,10,66.44
2022-08,10,66.44
2022-09,10,112.21846153846153
2022-10,10,106.80266666666667
2022-11,10,111.25
2022-12,10,111.25
2023-01,10,92.08
2023-02,10,92.08
2023-03,10,96.27333333333334
