Date,Grade,Price
2020-10,9,716.9992307692307
2020-11,9,517.2865517241379
2020-12,9,375.0
2021-01,9,393.18347826086955
2021-02,9,394.7492857142857
2021-03,9,343.8209090909091
2021-04,9,343.8209090909091
2021-05,9,343.8209090909091
2021-06,9,343.8209090909091
2021-07,9,262.6725
2021-08,9,249.24888888888887
2021-09,9,252.21
2021-10,9,213.5
2021-11,9,208.208
2021-12,9,204.33333333333334
2022-01,9,227.32615384615383
2022-02,9,165.0
2022-03,9,165.0
2022-04,9,165.0
2022-05,9,165.0
2022-06,9,165.0
2022-07,9,165.0
2022-08,9,165.0
2022-09,9,165.0
2022-10,9,171.67333333333332
2022-11,9,211.5
2022-12,9,211.5
2023-01,9,174.26
2023-02,9,174.26
2023-03,9,182.3990909090909
2023-04,9,23.0
2023-05,9,23.0
2023-06,9,23.0
2023-07,9,20.5
2023-08,9,31.38
2023-09,9,27.0
2023-10,9,25.855
2020-10,10,1813.0139130434782
2020-11,10,1003.0225203252032
2020-12,10,731.6890476190476
2021-01,10,699.8250925925926
2021-02,10,682.4419480519481
2021-03,10,734.0345
2021-04,10,734.0345
2021-05,10,734.0345
2021-06,10,734.0345
2021-07,10,476.457
2021-08,10,515.840625
2021-09,10,461.2421052631579
2021-10,10,454.25
2021-11,10,442.19
2021-12,10,440.53846153846155
2022-01,10,478.22962962962964
2022-02,10,428.03
2022-03,10,415.0
2022-04,10,415.0
2022-05,10,415.0
2022-06,10,415.0
2022-07,10,415.0
2022-08,10,415.0
2022-09,10,345.99
2022-10,10,316.52000000000004
2022-11,10,442.858
2022-12,10,59.09
2023-01,10,295.8240909090909
2023-02,10,53.333333333333336
2023-03,10,281.60210526315785
2023-04,10,281.60210526315785
2023-05,10,281.60210526315785
2023-06,10,281.60210526315785
2023-07,10,76.5
2023-08,10,76.5
2023-09,10,76.5
2023-10,10,51.0
