Date,Grade,Price
2017-06,8,12.38
2017-07,8,12.38
2017-08,8,28.494999999999997
2017-09,8,28.494999999999997
2017-10,8,28.494999999999997
2017-11,8,24.99
2017-12,8,11.5
2018-01,8,20.84
2018-02,8,20.84
2018-03,8,28.0
2018-04,8,24.0
2018-05,8,39.95
2018-06,8,39.95
2018-07,8,25.0
2018-08,8,25.0
2018-09,8,25.0
2018-10,8,18.0
2018-11,8,18.0
2018-12,8,18.0
2019-01,8,18.5
2019-02,8,19.99
2019-03,8,19.99
2019-04,8,34.95
2019-05,8,34.95
2019-06,8,34.95
2019-07,8,15.51
2019-08,8,29.99
2019-09,8,29.99
2019-10,8,29.99
2019-11,8,33.0
2019-12,8,32.0
2020-01,8,32.0
2020-02,8,13.495000000000001
2020-03,8,13.495000000000001
2020-04,8,13.495000000000001
2020-05,8,39.99
2020-06,8,39.99
2020-07,8,39.0
2020-08,8,39.0
2020-09,8,48.9
2020-10,8,48.9
2020-11,8,63.0
2020-12,8,63.4
2021-01,8,67.75
2021-02,8,104.5
2021-03,8,121.25
2021-04,8,80.985
2021-05,8,80.985
2021-06,8,62.5
2021-07,8,80.0
2021-08,8,61.0
2021-09,8,61.0
2021-10,8,41.0
2021-11,8,48.504999999999995
2021-12,8,46.99
2022-01,8,42.25
2022-02,8,37.0
2022-03,8,37.0
2022-04,8,51.69
2022-05,8,51.69
2022-06,8,51.69
2022-07,8,51.69
2022-08,8,51.69
2022-09,8,46.208000000000006
2022-10,8,46.208000000000006
2022-11,8,60.510000000000005
2022-12,8,60.510000000000005
2023-01,8,37.00666666666667
2023-02,8,37.00666666666667
2023-03,8,28.0
2023-04,8,34.010000000000005
2016-12,9,79.125
2017-01,9,52.0675
2017-02,9,53.60375
2017-03,9,39.0375
2017-04,9,32.212
2017-05,9,31.998
2017-06,9,31.38444444444444
2017-07,9,32.165
2017-08,9,32.935
2017-09,9,18.996666666666666
2017-10,9,30.398000000000003
2017-11,9,31.69857142857143
2017-12,9,32.19
2018-01,9,36.245000000000005
2018-02,9,32.495
2018-03,9,29.5
2018-04,9,27.03333333333333
2018-05,9,29.5325
2018-06,9,27.333333333333332
2018-07,9,29.12625
2018-08,9,21.0
2018-09,9,25.994999999999997
2018-10,9,25.994999999999997
2018-11,9,27.5
2018-12,9,27.5
2019-01,9,21.002499999999998
2019-02,9,17.816666666666666
2019-03,9,29.663333333333338
2019-04,9,25.0
2019-05,9,25.0
2019-06,9,32.983333333333334
2019-07,9,32.983333333333334
2019-08,9,45.5
2019-09,9,18.0
2019-10,9,19.6
2019-11,9,31.0
2019-12,9,25.67
2020-01,9,25.0
2020-02,9,27.675
2020-03,9,37.0
2020-04,9,47.9875
2020-05,9,38.946666666666665
2020-06,9,69.19800000000001
2020-07,9,67.798
2020-08,9,72.99666666666667
2020-09,9,67.59
2020-10,9,148.77076923076922
2020-11,9,155.60500000000002
2020-12,9,108.864375
2021-01,9,128.96236842105262
2021-02,9,144.9683870967742
2021-03,9,155.93952380952382
2021-04,9,124.44090909090909
2021-05,9,102.5
2021-06,9,110.6
2021-07,9,84.375
2021-08,9,93.355
2021-09,9,72.485
2021-10,9,67.41125
2021-11,9,33.25
2021-12,9,98.83
2022-01,9,66.37833333333333
2022-02,9,62.8125
2022-03,9,67.0
2022-04,9,67.0
2022-05,9,59.115
2022-06,9,52.5
2022-07,9,52.5
2022-08,9,52.5
2022-09,9,53.798571428571435
2022-10,9,54.89454545454546
2022-11,9,47.3825
2022-12,9,47.3825
2023-01,9,50.653076923076924
2023-02,9,50.653076923076924
2023-03,9,51.79764705882353
2023-04,9,53.76571428571429
2016-12,10,172.298
2017-01,10,131.27777777777777
2017-02,10,136.40833333333333
2017-03,10,107.87583333333333
2017-04,10,83.70466666666667
2017-05,10,66.20166666666667
2017-06,10,64.65214285714286
2017-07,10,58.36125
2017-08,10,59.28333333333334
2017-09,10,76.79866666666666
2017-10,10,60.33222222222222
2017-11,10,53.220000000000006
2017-12,10,61.5505
2018-01,10,53.362
2018-02,10,64.16
2018-03,10,61.0921875
2018-04,10,58.17521739130434
2018-05,10,52.636842105263156
2018-06,10,51.69125
2018-07,10,54.0884
2018-08,10,53.52454545454545
2018-09,10,47.9975
2018-10,10,49.0
2018-11,10,65.0
2018-12,10,38.62166666666666
2019-01,10,47.54333333333333
2019-02,10,47.9
2019-03,10,52.955714285714286
2019-04,10,47.16692307692308
2019-05,10,49.64555555555555
2019-06,10,146.4564285714286
2019-07,10,56.11
2019-08,10,70.955
2019-09,10,116.90166666666666
2019-10,10,60.864
2019-11,10,50.285714285714285
2019-12,10,54.45615384615385
2020-01,10,64.0
2020-02,10,74.42999999999999
2020-03,10,72.172
2020-04,10,86.82928571428572
2020-05,10,98.171
2020-06,10,160.223
2020-07,10,167.86375
2020-08,10,192.90863636363636
2020-09,10,209.35294117647058
2020-10,10,359.76114285714283
2020-11,10,375.685641025641
2020-12,10,300.5005263157895
2021-01,10,288.2325
2021-02,10,344.874358974359
2021-03,10,346.7145454545455
2021-04,10,299.4505555555555
2021-05,10,189.43800000000002
2021-06,10,179.041
2021-07,10,221.39499999999998
2021-08,10,201.8322222222222
2021-09,10,204.80599999999998
2021-10,10,195.70428571428573
2021-11,10,161.375
2021-12,10,167.22222222222223
2022-01,10,168.89846153846153
2022-02,10,170.33333333333334
2022-03,10,127.5
2022-04,10,160.0
2022-05,10,169.0
2022-06,10,196.89499999999998
2022-07,10,196.89499999999998
2022-08,10,196.89499999999998
2022-09,10,134.35666666666665
2022-10,10,165.44
2022-11,10,149.36666666666667
2022-12,10,149.36666666666667
2023-01,10,118.16
2023-02,10,118.16
2023-03,10,133.57611111111112
2023-04,10,122.16666666666667
