Date,Grade,Price
2016-11,5,14.0
2016-12,5,3.25
2017-01,5,3.25
2017-02,5,3.25
2017-03,5,3.25
2017-04,5,3.25
2017-05,5,3.25
2017-06,5,5.625
2017-07,5,5.625
2017-08,5,5.625
2017-09,5,22.994999999999997
2017-10,5,29.95
2017-11,5,23.685
2017-12,5,14.455
2018-01,5,14.455
2018-02,5,14.455
2018-03,5,25.2825
2018-04,5,34.3
2018-05,5,12.725
2018-06,5,14.5
2018-07,5,0.99
2018-08,5,11.5
2018-09,5,11.5
2018-10,5,11.5
2018-11,5,11.5
2018-12,5,7.99
2019-01,5,21.5
2019-02,5,21.5
2019-03,5,21.5
2019-04,5,18.25
2019-05,5,12.725
2019-06,5,13.75
2019-07,5,30.099999999999998
2019-08,5,30.099999999999998
2019-09,5,9.925
2019-10,5,15.01
2019-11,5,12.99
2019-12,5,22.5
2020-01,5,22.5
2020-02,5,20.6225
2020-03,5,12.99
2020-04,5,12.0
2020-05,5,15.0
2020-06,5,14.0
2020-07,5,31.748333333333335
2020-08,5,28.495
2020-09,5,49.91
2020-10,5,70.50111111111111
2020-11,5,61.25
2020-12,5,58.6
2021-01,5,67.22
2021-02,5,51.7375
2021-03,5,42.76833333333334
2021-04,5,47.9975
2021-05,5,57.0
2021-06,5,94.0
2021-07,5,34.333333333333336
2021-08,5,32.666666666666664
2021-09,5,28.88
2021-10,5,16.256666666666664
2021-11,5,16.256666666666664
2021-12,5,16.256666666666664
2022-01,5,25.0
2022-02,5,16.5
2022-03,5,16.5
2022-04,5,16.5
2022-05,5,13.01
2022-06,5,27.5
2022-07,5,27.5
2022-08,5,27.5
2022-09,5,15.26
2022-10,5,21.404
2022-11,5,17.5
2022-12,5,17.5
2023-01,5,27.996666666666666
2023-02,5,27.996666666666666
2023-03,5,18.283333333333335
2016-10,6,7.5
2016-11,6,7.5
2016-12,6,9.583333333333334
2017-01,6,9.583333333333334
2017-02,6,15.995000000000001
2017-03,6,11.6
2017-04,6,11.6
2017-05,6,5.645
2017-06,6,5.645
2017-07,6,16.333333333333332
2017-08,6,16.333333333333332
2017-09,6,8.733333333333333
2017-10,6,16.99
2017-11,6,62.330000000000005
2017-12,6,62.330000000000005
2018-01,6,28.0
2018-02,6,21.5
2018-03,6,12.99
2018-04,6,17.169999999999998
2018-05,6,7.5
2018-06,6,23.032500000000002
2018-07,6,23.032500000000002
2018-08,6,19.75
2018-09,6,19.75
2018-10,6,19.75
2018-11,6,19.75
2018-12,6,20.0
2019-01,6,19.75
2019-02,6,19.75
2019-03,6,15.712
2019-04,6,26.0
2019-05,6,25.0
2019-06,6,6.19
2019-07,6,14.406666666666666
2019-08,6,14.406666666666666
2019-09,6,15.940000000000001
2019-10,6,16.4675
2019-11,6,16.4675
2019-12,6,41.99666666666667
2020-01,6,16.0
2020-02,6,26.125
2020-03,6,26.125
2020-04,6,151.33
2020-05,6,34.425714285714285
2020-06,6,23.497999999999998
2020-07,6,35.79333333333333
2020-08,6,47.05
2020-09,6,59.51111111111111
2020-10,6,96.88785714285714
2020-11,6,95.35571428571428
2020-12,6,95.25
2021-01,6,79.10428571428572
2021-02,6,80.50333333333333
2021-03,6,57.25
2021-04,6,46.0
2021-05,6,33.0
2021-06,6,41.666666666666664
2021-07,6,63.663333333333334
2021-08,6,46.275
2021-09,6,32.300000000000004
2021-10,6,18.5
2021-11,6,18.5
2021-12,6,18.5
2022-01,6,31.166666666666668
2022-02,6,31.166666666666668
2022-03,6,19.48
2022-04,6,19.48
2022-05,6,29.99
2022-06,6,21.66333333333333
2022-07,6,21.66333333333333
2022-08,6,21.66333333333333
2022-09,6,27.171666666666667
2022-10,6,23.005
2022-11,6,13.5
2022-12,6,13.5
2023-01,6,28.807499999999997
2023-02,6,28.807499999999997
2023-03,6,31.02
2016-09,7,15.0
2016-10,7,15.0
2016-11,7,8.5
2016-12,7,8.5
2017-01,7,8.5
2017-02,7,12.004999999999999
2017-03,7,12.004999999999999
2017-04,7,9.625
2017-05,7,26.0
2017-06,7,5.5
2017-07,7,28.745
2017-08,7,16.745
2017-09,7,36.245000000000005
2017-10,7,21.666666666666668
2017-11,7,23.745
2017-12,7,27.75
2018-01,7,28.6
2018-02,7,13.5
2018-03,7,37.495000000000005
2018-04,7,33.585
2018-05,7,33.0
2018-06,7,40.146
2018-07,7,23.843333333333334
2018-08,7,25.17
2018-09,7,30.101999999999997
2018-10,7,30.101999999999997
2018-11,7,30.101999999999997
2018-12,7,37.0
2019-01,7,37.0
2019-02,7,20.25
2019-03,7,17.505000000000003
2019-04,7,28.0
2019-05,7,20.866666666666667
2019-06,7,20.836666666666666
2019-07,7,20.235
2019-08,7,25.126666666666665
2019-09,7,13.336666666666666
2019-10,7,17.244999999999997
2019-11,7,21.16333333333333
2019-12,7,30.796666666666667
2020-01,7,34.9975
2020-02,7,29.802857142857142
2020-03,7,23.631666666666664
2020-04,7,32.042
2020-05,7,50.30083333333334
2020-06,7,56.46153846153846
2020-07,7,44.292
2020-08,7,64.36583333333333
2020-09,7,104.97285714285714
2020-10,7,119.46294117647058
2020-11,7,123.99909090909091
2020-12,7,97.24875
2021-01,7,88.33749999999999
2021-02,7,94.42125
2021-03,7,100.125
2021-04,7,117.25
2021-05,7,56.0
2021-06,7,133.66666666666666
2021-07,7,50.0
2021-08,7,53.625
2021-09,7,31.0
2021-10,7,40.623333333333335
2021-11,7,40.623333333333335
2021-12,7,40.623333333333335
2022-01,7,53.24
2022-02,7,55.53
2022-03,7,24.5
2022-04,7,24.5
2022-05,7,35.92
2022-06,7,29.07
2022-07,7,29.07
2022-08,7,29.07
2022-09,7,38.7725
2022-10,7,36.898
2022-11,7,60.97
2022-12,7,60.97
2023-01,7,67.41
2023-02,7,67.41
2023-03,7,37.83571428571429
2023-04,7,44.3425
2016-11,8,38.11
2016-12,8,27.5
2017-01,8,15.935
2017-02,8,29.0
2017-03,8,17.125
2017-04,8,14.666666666666666
2017-05,8,19.68
2017-06,8,33.25
2017-07,8,37.5
2017-08,8,36.928000000000004
2017-09,8,35.41142857142857
2017-10,8,17.412
2017-11,8,25.588333333333335
2017-12,8,37.815555555555555
2018-01,8,45.74727272727272
2018-02,8,57.76461538461539
2018-03,8,38.598
2018-04,8,51.379
2018-05,8,28.778
2018-06,8,42.09
2018-07,8,35.285714285714285
2018-08,8,33.68111111111111
2018-09,8,23.913333333333338
2018-10,8,23.913333333333338
2018-11,8,23.913333333333338
2018-12,8,40.0
2019-01,8,25.541428571428572
2019-02,8,31.959999999999997
2019-03,8,17.79
2019-04,8,23.56
2019-05,8,25.267142857142858
2019-06,8,16.774
2019-07,8,61.125
2019-08,8,77.92
2019-09,8,39.745000000000005
2019-10,8,47.485
2019-11,8,11.5
2019-12,8,32.0
2020-01,8,27.5
2020-02,8,37.13777777777778
2020-03,8,31.496666666666666
2020-04,8,50.777272727272724
2020-05,8,71.54363636363637
2020-06,8,64.06333333333333
2020-07,8,87.973
2020-08,8,100.09190476190476
2020-09,8,123.45363636363636
2020-10,8,258.5313636363636
2020-11,8,194.0656666666667
2020-12,8,184.65545454545455
2021-01,8,151.99954545454545
2021-02,8,186.94555555555556
2021-03,8,131.66684210526316
2021-04,8,153.7075
2021-05,8,153.7075
2021-06,8,83.0
2021-07,8,77.45
2021-08,8,80.625
2021-09,8,47.0
2021-10,8,59.2025
2021-11,8,59.2025
2021-12,8,59.2025
2022-01,8,59.2025
2022-02,8,50.61333333333334
2022-03,8,50.61333333333334
2022-04,8,50.61333333333334
2022-05,8,61.0775
2022-06,8,41.0
2022-07,8,41.0
2022-08,8,41.0
2022-09,8,65.66666666666667
2022-10,8,58.333333333333336
2022-11,8,53.68
2022-12,8,53.68
2023-01,8,63.7325
2023-02,8,63.7325
2023-03,8,45.5
2023-04,8,52.9
2016-09,9,83.75
2016-10,9,60.67666666666667
2016-11,9,64.21
2016-12,9,38.138
2017-01,9,27.0
2017-02,9,40.9525
2017-03,9,72.05
2017-04,9,17.75
2017-05,9,52.73714285714285
2017-06,9,65.34444444444445
2017-07,9,139.87
2017-08,9,77.63000000000001
2017-09,9,69.04833333333333
2017-10,9,31.09714285714286
2017-11,9,91.04125
2017-12,9,119.56
2018-01,9,85.85000000000001
2018-02,9,111.3757142857143
2018-03,9,82.3286956521739
2018-04,9,154.39764705882354
2018-05,9,101.0865
2018-06,9,66.78714285714285
2018-07,9,68.0675
2018-08,9,49.12666666666667
2018-09,9,58.29666666666666
2018-10,9,27.5
2018-11,9,24.99
2018-12,9,60.64
2019-01,9,78.99600000000001
2019-02,9,47.28142857142858
2019-03,9,45.345555555555556
2019-04,9,38.30625
2019-05,9,75.33500000000001
2019-06,9,48.98083333333333
