Date,Grade,Price
2016-09,6,19.99
2016-10,6,16.5
2016-11,6,20.0
2016-12,6,20.0
2017-01,6,20.0
2017-02,6,20.0
2017-03,6,20.0
2017-04,6,26.0
2017-05,6,14.99
2017-06,6,14.99
2017-07,6,10.0
2017-08,6,10.0
2017-09,6,10.0
2017-10,6,10.0
2017-11,6,10.0
2017-12,6,10.0
2018-01,6,10.0
2018-02,6,32.0
2018-03,6,34.99
2018-04,6,16.5
2018-05,6,22.5
2018-06,6,22.5
2018-07,6,30.0
2018-08,6,55.0
2018-09,6,55.0
2018-10,6,55.0
2018-11,6,55.0
2018-12,6,55.0
2019-01,6,55.0
2019-02,6,55.0
2019-03,6,30.0
2019-04,6,22.5
2019-05,6,22.5
2019-06,6,30.0
2019-07,6,30.0
2019-08,6,30.0
2019-09,6,31.0
2019-10,6,21.994999999999997
2019-11,6,14.5
2019-12,6,47.995
2020-01,6,38.0
2020-02,6,38.0
2020-03,6,34.763999999999996
2020-04,6,75.575
2020-05,6,57.495000000000005
2020-06,6,66.2375
2020-07,6,66.2375
2020-08,6,80.8425
2020-09,6,130.5
2020-10,6,628.232
2020-11,6,291.95222222222225
2020-12,6,135.005
2021-01,6,161.33333333333334
2021-02,6,342.556
2021-03,6,268.1244444444444
2021-04,6,268.1244444444444
2021-05,6,123.3
2021-06,6,121.48333333333333
2021-07,6,99.99666666666667
2021-08,6,114.2675
2021-09,6,77.66333333333334
2021-10,6,87.55
2021-11,6,87.55
2021-12,6,68.42857142857143
2022-01,6,69.24571428571429
2022-02,6,76.0
2022-03,6,55.0
2022-04,6,55.0
2022-05,6,108.25
2022-06,6,109.84
2022-07,6,109.84
2022-08,6,109.84
2022-09,6,75.0
2022-10,6,105.82
2022-11,6,67.0
2022-12,6,67.0
2023-01,6,67.0
2023-02,6,67.0
2023-03,6,64.25
2016-12,7,20.5
2017-01,7,20.5
2017-02,7,20.5
2017-03,7,20.5
2017-04,7,20.5
2017-05,7,21.6275
2017-06,7,26.99
2017-07,7,17.0
2017-08,7,30.475
2017-09,7,30.475
2017-10,7,15.5
2017-11,7,29.99
2017-12,7,37.95
2018-01,7,37.95
2018-02,7,31.99
2018-03,7,38.95
2018-04,7,24.99
2018-05,7,19.95
