"Date","Grade","Price","Sale Type"
2023-04-20,7,105,"Auction"
2023-04-20,7,84,"Auction"
2023-04-20,6,71,"Auction"
2023-04-20,7,149.99,"Auction"
2023-04-19,6,66.87,"Auction"
2023-04-19,4,29,"Auction"
2023-04-18,8,173,"Auction"
2023-04-10,5,56,"Auction"
2023-04-07,9,320,"Auction"
2023-04-05,8,185,"Auction"
2023-04-05,8,202.5,"Auction"
2023-04-05,5,52,"Auction"
2023-04-05,5,71,"Auction"
2023-04-04,3,45,"Auction"
2023-04-03,8,135.5,"Auction"
2023-04-03,9,260,"Auction"
2023-04-03,7,102.5,"Auction"
2023-04-03,10,2126,"Auction"
2023-04-02,9,369.95,"Auction"
2023-04-02,9,355,"Auction"
2023-04-02,6,53,"Auction"
2023-04-02,7,96,"Auction"
2023-04-02,3,36,"Auction"
2023-04-01,9,275,"Auction"
2023-04-01,6,64.99,"Auction"
2023-03-16,6,49,"Auction"
2023-03-14,6,65,"Auction"
2023-03-13,6,72,"Auction"
2023-03-12,7,125.5,"Auction"
2023-03-11,7,123.43,"Auction"
2023-03-11,5,61,"Auction"
2023-03-10,9,344.99,"Auction"
2023-03-10,6,54,"Auction"
2023-03-09,6,71,"Auction"
2023-03-08,9,350,"Auction"
2023-03-08,6,75,"Auction"
2023-03-07,5,60,"Auction"
2023-03-07,4,73,"Auction"
2023-03-07,8,207.5,"Auction"
2023-03-06,6,86,"Auction"
2023-03-06,7,89,"Auction"
2023-03-05,2,50.3,"Auction"
2023-03-04,8,172.5,"Auction"
2023-03-04,3,41,"Auction"
2023-03-04,8,176.5,"Auction"
2023-03-04,7,105.5,"Auction"
2023-03-04,5,52,"Auction"
2023-03-04,9,371.29,"Auction"
2023-03-03,8,191.63,"Auction"
2023-03-03,4,41.5,"Auction"
2023-01-24,6,119,"Auction"
2023-01-24,2,102.5,"Auction"
2023-01-23,4,42,"Auction"
2023-01-23,9,370,"Auction"
2023-01-23,6,75,"Auction"
2023-01-23,8,127.5,"Auction"
2023-01-23,7,105.5,"Auction"
2023-01-23,6,62,"Auction"
2023-01-23,5,84.11,"Auction"
2023-01-23,7,91,"Auction"
2023-01-23,6,70,"Auction"
2023-01-23,6,70,"Auction"
2023-01-22,9,365,"Auction"
2023-01-22,8,181,"Auction"
2023-01-22,9,365,"Auction"
2023-01-22,7,149.66,"Auction"
2023-01-21,8,162.5,"Auction"
2023-01-21,9,385,"Auction"
2023-01-21,5,54,"Auction"
2023-01-21,5,51,"Auction"
2023-01-21,3,45,"Auction"
2023-01-21,7,122.5,"Auction"
2023-01-21,6,82,"Auction"
2023-01-19,9,395,"Auction"
2022-11-15,8,172.5,"Auction"
2022-11-14,6,75,"Auction"
2022-11-11,5,30,"Auction"
2022-11-07,7,122.5,"Auction"
2022-11-05,8,177.5,"Auction"
2022-11-04,5,68,"Auction"
2022-11-03,7,132.5,"Auction"
2022-11-03,8,200.5,"Auction"
2022-11-02,7,112.5,"Auction"
2022-11-02,5,61,"Auction"
2022-11-01,6,61,"Auction"
2022-11-01,5,65,"Auction"
2022-10-31,8,212.5,"Auction"
2022-10-31,7,91,"Auction"
2022-10-31,8,127.5,"Auction"
2022-10-31,8,79,"Auction"
2022-10-31,5,56,"Auction"
2022-10-31,3,43,"Auction"
2022-10-30,7,119,"Auction"
2022-10-30,7,147.5,"Auction"
2022-10-30,4,65,"Auction"
2022-10-30,6,71,"Auction"
2022-10-30,8,207.5,"Auction"
2022-10-30,6,66,"Auction"
2022-10-29,8,152.5,"Auction"
2022-10-29,5,70,"Auction"
2022-10-28,9,355,"Auction"
2022-10-28,7,104,"Auction"
2022-10-05,8,152.5,"Auction"
2022-10-03,7,80,"Auction"
2022-09-30,9,355,"Auction"
2022-09-19,4,59,"Auction"
2022-09-19,8,162.5,"Auction"
2022-09-19,7,106.5,"Auction"
2022-09-18,8,268.68,"Auction"
2022-09-17,5,84.6,"Auction"
2022-09-16,6,72,"Auction"
2022-09-15,8,255.3,"Auction"
2022-09-14,5,55,"Auction"
2022-09-12,5,49.99,"Auction"
2022-09-11,8,130.5,"Auction"
