"Date","Grade","Price","Sale Type"
2022-12-14,9,70,"Auction"
2022-11-19,10,325,"Auction"
2022-11-16,9,164,"Auction"
2022-11-08,8,55.02,"Auction"
2022-11-07,10,270,"Auction"
2022-11-03,9,83.26,"Auction"
2022-11-03,8,48.86,"Auction"
2022-11-02,9,86,"Auction"
2022-11-01,9,73.96,"Auction"
2022-11-01,9,61,"Auction"
2022-11-01,8,46,"Auction"
2022-10-31,8,62,"Auction"
2022-10-31,10,341,"Auction"
2022-10-31,8,51,"Auction"
2022-10-31,9,56.02,"Auction"
2022-10-31,9,76,"Auction"
2022-10-31,10,345,"Auction"
2022-10-31,9,86,"Auction"
2022-10-31,8,51.02,"Auction"
2022-10-31,8,56.02,"Auction"
2022-10-31,9,95,"Auction"
2022-10-30,8,60,"Auction"
2022-10-30,8,77.37,"Auction"
2022-10-30,9,61,"Auction"
2022-10-30,9,75,"Auction"
2022-10-29,8,38,"Auction"
2022-10-04,8,79,"Auction"
2022-10-02,8,33,"Auction"
2022-09-27,8,55.02,"Auction"
2022-09-24,8,31,"Auction"
2022-09-22,10,453.26,"Auction"
2022-09-20,8,71,"Auction"
2022-09-19,9,64,"Auction"
2022-09-19,9,91,"Auction"
2022-09-19,8,59,"Auction"
2022-09-18,9,81,"Auction"
2022-09-18,10,425,"Auction"
2022-09-18,9,335,"Auction"
2022-09-18,10,345,"Auction"
2022-09-18,9,86,"Auction"
2022-09-18,9,91,"Auction"
2022-09-18,7,52.59,"Auction"
2022-09-16,8,69,"Auction"
2022-09-15,10,320,"Auction"
2022-09-15,5,37,"Auction"
2022-09-14,6,36,"Auction"
2022-09-13,9,76,"Auction"
2022-09-13,9,93,"Auction"
2022-09-12,9,89,"Auction"
2022-09-10,9,56,"Auction"
2022-09-09,7,36,"Auction"
2022-06-09,8,51.02,"Auction"
2022-06-09,9,61,"Auction"
2022-06-07,5,42,"Auction"
2022-06-06,9,91,"Auction"
2022-06-05,8,44,"Auction"
2022-06-05,8,50,"Auction"
2022-06-05,9,66.02,"Auction"
2022-05-19,10,22.05,"Auction"
2022-05-19,10,70,"Auction"
2022-05-19,10,4.95,"Auction"
2022-05-19,10,4.95,"Auction"
2022-05-19,10,12.39,"Auction"
2022-05-19,10,19.39,"Auction"
2022-05-19,10,4.95,"Auction"
2022-05-19,10,7.5,"Auction"
2022-05-19,10,23.39,"Auction"
2022-05-19,10,4.95,"Auction"
2022-05-18,9,89,"Auction"
2022-05-17,7,49,"Auction"
2022-05-17,9,93,"Auction"
2022-05-16,8,76,"Auction"
2022-05-12,10,425,"Auction"
2022-05-10,9,90,"Auction"
2022-05-10,9,123.92,"Auction"
2022-05-09,9,113,"Auction"
2022-05-09,6,45,"Auction"
2022-05-08,9,88.5,"Auction"
2022-05-07,9,66,"Auction"
2022-05-06,9,101,"Auction"
2022-05-05,9,103.5,"Auction"
2022-05-05,6,43,"Auction"
2022-04-05,9,82,"Auction"
2022-03-13,9,71.02,"Auction"
2022-03-01,7,73,"Auction"
2022-02-19,9,86,"Auction"
2022-02-19,9,124.89,"Auction"
2022-02-18,8,51,"Auction"
