"Date","Grade","Price","Sale Type"
2023-03-19,8,455,"Auction"
2023-03-19,1,123.5,"Auction"
2023-03-19,4,145.5,"Auction"
2023-03-19,9,1025,"Auction"
2023-03-19,5,172.5,"Auction"
2023-03-19,8,445,"Auction"
2023-03-19,6,510,"Auction"
2023-03-18,8,454,"Auction"
2023-03-18,9,1141.11,"Auction"
2023-03-18,8,500,"Auction"
2023-03-18,8,475,"Auction"
2023-03-16,9,1000,"Auction"
2023-03-16,5,212.5,"Auction"
2023-03-15,3,146.5,"Auction"
2023-03-14,6,212.5,"Auction"
2023-03-14,5,200,"Auction"
2023-03-14,4,151,"Auction"
2023-03-14,8,499,"Auction"
2023-03-12,5,193.5,"Auction"
2023-03-12,9,1000.01,"Auction"
2023-03-10,6,243.5,"Auction"
2023-03-10,6,305,"Auction"
2023-03-09,3,185.01,"Auction"
2022-11-14,6,227.5,"Auction"
2022-11-14,8,505.26,"Auction"
2022-11-06,5,191.76,"Auction"
2022-11-05,7,315,"Auction"
2022-11-05,8,485,"Auction"
2022-11-05,7,305,"Auction"
2022-11-03,8,435,"Auction"
2022-11-03,8,486,"Auction"
2022-11-02,4,152.5,"Auction"
2022-11-02,3,157.5,"Auction"
2022-11-01,5,165.5,"Auction"
2022-11-01,6,188,"Auction"
2022-11-01,6,225.19,"Auction"
2022-11-01,8,309.18,"Auction"
2022-10-31,9,725,"Auction"
2022-10-31,7,325,"Auction"
2022-10-31,6,235,"Auction"
2022-10-31,7,203.5,"Auction"
2022-10-31,5,165,"Auction"
2022-10-31,6,306.43,"Auction"
2022-10-31,4,177.5,"Auction"
2022-10-31,8,386,"Auction"
2022-10-30,6,207.5,"Auction"
2022-10-30,9,1025,"Auction"
2022-10-30,9,1030,"Auction"
2022-10-06,5,131.22,"Auction"
2022-10-06,6,224.5,"Auction"
2022-10-05,6,280,"Auction"
2022-09-29,5,165.5,"Auction"
2022-09-20,6,222.5,"Auction"
2022-09-19,8,461,"Auction"
2022-09-19,6,779.99,"Auction"
2022-09-19,7,326,"Auction"
2022-09-19,3,162.5,"Auction"
2022-09-19,4,115.5,"Auction"
2022-09-19,9,1600,"Auction"
2022-09-19,9,900,"Auction"
2022-09-18,6,423.02,"Auction"
2022-09-18,9,1125,"Auction"
2022-09-18,7,930,"Auction"
2022-09-18,7,280,"Auction"
2022-09-18,6,246.94,"Auction"
2022-09-17,8,90.99,"Auction"
2022-09-16,5,220.5,"Auction"
2022-09-16,7,355,"Auction"
2022-09-16,8,450,"Auction"
2022-09-16,5,202,"Auction"
2022-09-15,8,600,"Auction"
2022-09-15,6,295,"Auction"
2022-06-09,8,486,"Auction"
2022-06-09,7,321.01,"Auction"
2022-06-07,3,121,"Auction"
2022-06-06,8,441.7,"Auction"
2022-06-06,4,153.4,"Auction"
2022-06-05,5,595,"Auction"
2022-06-05,5,227.5,"Auction"
2022-06-05,8,20.5,"Auction"
2022-06-02,8,491,"Auction"
2022-06-02,5,202.5,"Auction"
2022-06-01,7,85,"Auction"
2022-06-01,7,280.75,"Auction"
2022-05-31,6,150,"Auction"
2022-05-30,7,355,"Auction"
2022-05-27,7,90,"Auction"
2022-05-20,5,216,"Auction"
2022-05-20,9,1012.5,"Auction"
2022-05-18,7,248.51,"Auction"
2022-05-18,5,328,"Auction"
2022-05-18,7,375,"Auction"
2022-05-17,8,495,"Auction"
2022-05-17,8,485,"Auction"
2022-05-17,10,8580,"Auction"
2022-05-17,7,280,"Auction"
2022-05-16,1,135.55,"Auction"
2022-05-16,3,125.51,"Auction"
2022-05-16,2,122.4,"Auction"
2022-01-08,7,365,"Auction"
2022-01-07,8,542,"Auction"
2022-01-07,8,605,"Auction"
2022-01-06,8,580,"Auction"
2022-01-06,8,551,"Auction"
2022-01-05,4,172.5,"Auction"
2022-01-05,8,495,"Auction"
2022-01-05,4,188.5,"Auction"
2022-01-04,8,499,"Auction"
2022-01-03,8,550,"Auction"
2022-01-03,8,540,"Auction"
2022-01-03,3,203.57,"Auction"
2022-01-03,5,207.5,"Auction"
2022-01-03,6,228.5,"Auction"
2022-01-03,5,207.5,"Auction"
2022-01-03,9,1182,"Auction"
2022-01-02,8,565,"Auction"
2022-01-02,8,370,"Auction"
2022-01-02,8,540,"Auction"
2022-01-02,9,1175,"Auction"
2021-12-31,7,353,"Auction"
2021-12-31,8,560,"Auction"
2021-12-31,7,880.39,"Auction"
