"Date","Grade","Price","Sale Type"
2023-03-16,8,80,"Auction"
2023-03-15,9,93,"Auction"
2023-03-15,9,83.51,"Auction"
2023-03-15,7,39.99,"Auction"
2023-03-15,9,88,"Auction"
2023-03-12,8,148.85,"Auction"
2023-03-12,9,152.83,"Auction"
2023-03-11,8,56,"Auction"
2023-03-11,8,51,"Auction"
2023-03-11,8,56,"Auction"
2023-03-11,9,118.5,"Auction"
2023-03-10,9,89,"Auction"
2023-03-10,8,51.02,"Auction"
2023-03-10,8,71.69,"Auction"
2023-03-09,9,97,"Auction"
2023-03-08,9,76.51,"Auction"
2023-03-07,9,92.06,"Auction"
2023-03-07,9,89,"Auction"
2023-03-06,7,46,"Auction"
2023-03-06,9,96,"Auction"
2023-03-06,8,49,"Auction"
2023-03-06,7,56.99,"Auction"
2023-03-05,9,119.76,"Auction"
2023-01-25,7,44.56,"Auction"
2023-01-25,8,59,"Auction"
2023-01-24,9,100.69,"Auction"
2023-01-24,9,105.5,"Auction"
2023-01-24,8,81,"Auction"
2023-01-23,8,45.1,"Auction"
2023-01-23,8,47.56,"Auction"
2023-01-23,8,45.1,"Auction"
2023-01-23,8,46,"Auction"
2023-01-23,9,89,"Auction"
2023-01-23,8,46,"Auction"
2023-01-23,8,41.1,"Auction"
2023-01-23,8,61.02,"Auction"
2023-01-23,9,91,"Auction"
2023-01-23,10,1750,"Auction"
2023-01-23,8,61.02,"Auction"
2023-01-23,8,50,"Auction"
2023-01-23,8,45.1,"Auction"
2023-01-23,7,46,"Auction"
2023-01-23,8,45.1,"Auction"
2023-01-23,8,51,"Auction"
2023-01-23,8,61,"Auction"
2023-01-23,8,51,"Auction"
2023-01-23,8,47.56,"Auction"
2023-01-23,8,60,"Auction"
2022-11-07,7,51.02,"Auction"
2022-11-07,8,60.02,"Auction"
2022-11-05,9,89,"Auction"
2022-11-05,8,53,"Auction"
2022-11-04,9,83,"Auction"
2022-11-04,9,173.07,"Auction"
2022-11-03,8,81,"Auction"
2022-11-03,9,151.31,"Auction"
2022-11-03,9,115,"Auction"
2022-11-03,8,58.03,"Auction"
2022-11-02,9,74,"Auction"
2022-11-02,8,58,"Auction"
2022-11-01,9,92,"Auction"
2022-11-01,9,104.68,"Auction"
2022-10-31,9,122.5,"Auction"
2022-10-31,9,102.5,"Auction"
2022-10-31,8,54,"Auction"
2022-10-31,9,212.5,"Auction"
2022-10-31,9,76,"Auction"
2022-10-31,7,50.11,"Auction"
2022-10-31,6,38,"Auction"
2022-10-31,9,81,"Auction"
2022-10-31,9,83,"Auction"
2022-10-31,8,70,"Auction"
2022-10-30,7,60.31,"Auction"
2022-09-30,9,102.5,"Auction"
2022-09-21,6,65,"Auction"
2022-09-20,8,73,"Auction"
2022-09-19,9,1001,"Auction"
2022-09-19,9,101,"Auction"
2022-09-18,9,189.5,"Auction"
2022-09-18,8,73,"Auction"
2022-09-18,8,61.02,"Auction"
2022-09-18,9,305,"Auction"
2022-09-18,9,117.5,"Auction"
2022-09-17,9,82,"Auction"
2022-09-16,9,107.5,"Auction"
2022-09-13,9,130,"Auction"
2022-09-13,9,165.78,"Auction"
2022-09-13,8,78,"Auction"
2022-09-13,9,122.5,"Auction"
2022-09-13,8,76,"Auction"
2022-09-12,9,112.5,"Auction"
2022-09-12,9,122.5,"Auction"
2022-09-12,9,97,"Auction"
2022-09-11,9,94,"Auction"
2022-09-09,8,61,"Auction"
2022-09-08,8,74.99,"Auction"
2022-09-08,9,86.05,"Auction"
2022-09-08,9,110.5,"Auction"
2022-09-07,9,102.5,"Auction"
2022-09-07,9,92,"Auction"
2022-09-07,9,96,"Auction"
2022-06-09,9,153.5,"Auction"
2022-06-07,8,56.02,"Auction"
2022-06-06,9,99,"Auction"
2022-06-06,8,59.6,"Auction"
2022-06-06,9,91,"Auction"
2022-06-06,9,91,"Auction"
2022-06-06,8,44,"Auction"
2022-06-05,6,53,"Auction"
2022-06-05,9,99,"Auction"
2022-06-05,9,119,"Auction"
2022-06-05,8,62,"Auction"
2022-06-01,9,117.5,"Auction"
2022-05-19,8,57.1,"Auction"
2022-05-18,7,102.5,"Auction"
2022-05-18,8,83,"Auction"
2022-05-17,8,79,"Auction"
2022-05-17,9,110.5,"Auction"
2022-05-17,9,110.5,"Auction"
2022-05-16,8,77,"Auction"
2022-05-15,8,67.21,"Auction"
2022-05-14,9,100,"Auction"
2022-05-14,9,152.5,"Auction"
2022-05-13,8,90,"Auction"
2022-05-11,9,100,"Auction"
2022-05-10,9,132.5,"Auction"
2022-05-09,8,64,"Auction"
2022-05-09,8,69,"Auction"
2022-05-08,9,75,"Auction"
2022-05-08,8,96.35,"Auction"
2022-04-05,9,345,"Auction"
2022-03-02,9,122.5,"Auction"
2022-03-01,6,41,"Auction"
2022-02-24,9,141.5,"Auction"
2022-02-24,9,94.51,"Auction"
2022-02-22,10,1925,"Auction"
2022-02-19,9,152.97,"Auction"
2021-12-09,8,60,"Auction"
2021-12-09,9,149.5,"Auction"
2021-12-09,8,60.01,"Auction"
2021-12-09,7,54,"Auction"
2021-12-08,9,132.5,"Auction"
2021-12-08,8,68,"Auction"
2021-12-08,8,68,"Auction"
2021-12-08,8,76,"Auction"
2021-12-08,8,81,"Auction"
2021-12-08,8,71,"Auction"
2021-12-08,9,136.63,"Auction"
2021-12-08,7,56,"Auction"
2021-12-08,8,100,"Auction"
2021-12-07,8,89,"Auction"
2021-12-07,8,125.06,"Auction"
2021-12-07,9,125,"Auction"
2021-12-07,9,132.5,"Auction"
2021-12-07,8,59,"Auction"
2021-12-07,8,100,"Auction"
2021-12-06,9,132.5,"Auction"
2021-12-06,7,51,"Auction"
2021-12-06,9,187.5,"Auction"
2021-12-06,9,204.91,"Auction"
2021-12-06,9,70.36,"Auction"
2021-09-29,9,155.49,"Auction"
2021-09-29,10,750,"Auction"
2021-09-29,8,102.5,"Auction"
2021-09-29,9,152.5,"Auction"
2021-09-29,9,164.5,"Auction"
2021-09-29,9,147.5,"Auction"
2021-09-29,9,202.5,"Auction"
2021-09-28,8,122.5,"Auction"
2021-09-28,6,46.55,"Auction"
2021-09-28,7,61,"Auction"
2021-09-28,8,69,"Auction"
2021-09-28,9,168.5,"Auction"
2021-09-27,9,61,"Auction"
2021-09-27,9,127.5,"Auction"
2021-09-27,8,102.5,"Auction"
2021-09-26,8,27,"Auction"
2021-09-26,9,156,"Auction"
2021-09-26,9,255,"Auction"
2021-09-25,8,76.55,"Auction"
2021-09-25,7,69,"Auction"
2021-09-25,8,155.9,"Auction"
2021-09-25,9,250,"Auction"
