"Date","Grade","Price","Sale Type"
2023-04-21,9,320,"Auction"
2023-04-20,7,208.4,"Auction"
2023-04-18,10,700,"Auction"
2023-04-10,10,758,"Auction"
2023-04-09,10,710,"Auction"
2023-04-07,9,385,"Auction"
2023-04-06,10,747.09,"Auction"
2023-04-04,8,324.99,"Auction"
2023-04-03,10,580,"Auction"
2023-04-03,9,355,"Auction"
2023-04-03,10,757,"Auction"
2023-04-02,10,578.65,"Auction"
2023-04-01,9,354.85,"Auction"
2023-04-01,8,247.29,"Auction"
2023-04-01,10,1135,"Auction"
2023-03-31,9,316.55,"Auction"
2023-03-31,8,203.19,"Auction"
2023-03-30,10,704.66,"Auction"
2023-03-29,9,311,"Auction"
2023-03-28,10,676,"Auction"
2023-03-26,10,720,"Auction"
2023-03-26,10,719.03,"Auction"
2023-03-25,10,356,"Auction"
2023-03-23,10,728.43,"Auction"
2023-03-23,10,790,"Auction"
2023-01-25,9,335,"Auction"
2023-01-24,9,335,"Auction"
2023-01-24,9,325,"Auction"
2023-01-23,8,261,"Auction"
2023-01-23,10,662,"Auction"
2023-01-22,10,667,"Auction"
2023-01-21,10,688,"Auction"
2023-01-20,10,605,"Auction"
2023-01-20,10,680,"Auction"
2023-01-19,9,310,"Auction"
2023-01-18,10,725,"Auction"
2023-01-15,10,760,"Auction"
2023-01-15,10,810,"Auction"
2023-01-15,10,731,"Auction"
2023-01-13,9,335,"Auction"
2023-01-11,10,749,"Auction"
2023-01-11,9,315,"Auction"
2023-01-10,9,330,"Auction"
2023-01-09,9,325,"Auction"
2023-01-09,10,531.78,"Auction"
2023-01-09,10,809,"Auction"
2023-01-09,10,800,"Auction"
2023-01-04,10,710,"Auction"
2023-01-03,10,650,"Auction"
2023-01-02,9,325,"Auction"
2022-11-15,10,709,"Auction"
2022-11-05,9,305,"Auction"
2022-11-04,10,660,"Auction"
2022-11-02,9,312.91,"Auction"
2022-11-01,10,751,"Auction"
2022-10-31,10,660,"Auction"
2022-10-31,9,297,"Auction"
2022-10-31,10,781,"Auction"
2022-10-31,8,245.5,"Auction"
2022-10-31,10,750,"Auction"
2022-10-30,9,289,"Auction"
2022-10-29,10,603.72,"Auction"
2022-10-29,10,657,"Auction"
2022-10-29,9,350,"Auction"
2022-10-28,10,766,"Auction"
2022-10-28,9,315,"Auction"
2022-10-28,10,687.77,"Auction"
2022-10-27,10,775,"Auction"
2022-10-27,8,266,"Auction"
2022-10-25,10,750,"Auction"
2022-10-24,10,810,"Auction"
2022-10-24,8,38,"Auction"
2022-10-24,8,254,"Auction"
