"Date","Grade","Price","Sale Type"
2023-03-20,10,97,"Auction"
2023-03-20,10,89,"Auction"
2023-03-20,10,91,"Auction"
2023-03-19,10,83.98,"Auction"
2023-03-19,10,75.26,"Auction"
2023-03-19,10,123.5,"Auction"
2023-03-19,10,97,"Auction"
2023-03-19,10,122.5,"Auction"
2023-03-19,10,149.5,"Auction"
2023-03-18,10,105.5,"Auction"
2023-03-17,10,97,"Auction"
2023-03-16,10,89,"Auction"
2023-03-15,10,139.5,"Auction"
2023-03-15,10,63,"Auction"
2023-03-14,9,43,"Auction"
2023-03-14,10,91,"Auction"
2023-03-13,10,84,"Auction"
2023-03-12,8,31,"Auction"
2023-03-11,10,91,"Auction"
2023-03-11,10,100,"Auction"
2023-03-09,9,41,"Auction"
2023-03-09,10,80,"Auction"
2023-03-09,10,73,"Auction"
2023-03-09,7,35.75,"Auction"
2023-03-08,10,80,"Auction"
2023-01-30,10,100,"Auction"
2023-01-30,10,86.85,"Auction"
2023-01-30,10,87,"Auction"
2023-01-29,9,42.88,"Auction"
2023-01-29,9,29.26,"Auction"
2023-01-29,10,99,"Auction"
2023-01-29,10,78,"Auction"
2023-01-29,10,86,"Auction"
2023-01-28,10,96,"Auction"
2023-01-28,9,50,"Auction"
2023-01-28,9,53,"Auction"
2023-01-27,9,61,"Auction"
2023-01-27,10,95,"Auction"
2023-01-26,10,102.5,"Auction"
2023-01-26,10,97.01,"Auction"
2023-01-24,10,94,"Auction"
2023-01-24,10,89,"Auction"
2023-01-23,10,95,"Auction"
2023-01-23,10,92,"Auction"
2023-01-23,9,51.02,"Auction"
2023-01-23,10,91,"Auction"
2023-01-23,9,56,"Auction"
2023-01-22,10,86,"Auction"
2023-01-22,10,91,"Auction"
2023-01-21,8,34,"Auction"
2022-11-19,10,91,"Auction"
2022-11-08,9,51,"Auction"
2022-11-08,10,147.5,"Auction"
2022-11-03,10,106.5,"Auction"
2022-11-01,10,100,"Auction"
2022-10-31,9,81,"Auction"
2022-10-31,10,120,"Auction"
2022-10-31,10,100,"Auction"
2022-10-31,9,49.25,"Auction"
2022-10-31,10,102.5,"Auction"
2022-10-31,10,135.29,"Auction"
2022-10-30,10,102,"Auction"
2022-10-30,10,102.5,"Auction"
2022-10-30,10,103,"Auction"
2022-10-30,9,61,"Auction"
2022-10-30,10,102.5,"Auction"
2022-10-30,10,104.5,"Auction"
2022-10-30,9,57,"Auction"
2022-10-30,10,104.5,"Auction"
2022-10-30,10,100.5,"Auction"
2022-10-30,10,114.5,"Auction"
2022-10-30,10,107.49,"Auction"
2022-10-30,9,56,"Auction"
2022-10-30,10,103,"Auction"
2022-10-30,10,99.76,"Auction"
2022-09-27,10,122.5,"Auction"
2022-09-27,10,115.5,"Auction"
2022-09-21,10,46,"Auction"
