"Date","Grade","Price","Sale Type"
2023-10-22,10,51,"Auction"
2023-10-16,9,30.21,"Auction"
2023-10-02,9,21.5,"Auction"
2023-09-18,9,27,"Auction"
2023-08-14,9,31.38,"Auction"
2023-07-28,10,76.5,"Auction"
2023-07-16,9,20.5,"Auction"
2023-04-29,9,23,"Auction"
2023-04-21,8,20,"Auction"
2023-03-27,8,11.5,"Auction"
2023-03-27,10,84,"Auction"
2023-03-20,9,165,"Auction"
2023-03-20,10,292.5,"Auction"
2023-03-20,10,341,"Auction"
2023-03-20,9,202.5,"Auction"
2023-03-20,10,67,"Auction"
2023-03-19,10,330,"Auction"
2023-03-19,9,17.5,"Auction"
2023-03-19,9,181,"Auction"
2023-03-19,9,280,"Auction"
2023-03-19,9,26,"Auction"
2023-03-18,10,322.98,"Auction"
2023-03-18,10,325,"Auction"
2023-03-14,10,370,"Auction"
2023-03-13,9,192.5,"Auction"
2023-03-12,10,560,"Auction"
2023-03-12,10,355,"Auction"
2023-03-12,9,360,"Auction"
2023-03-09,9,172.5,"Auction"
2023-03-09,10,325,"Auction"
2023-03-08,10,325,"Auction"
2023-03-08,10,350,"Auction"
2023-03-08,10,290,"Auction"
2023-03-07,8,34.07,"Auction"
2023-03-07,10,320,"Auction"
2023-03-07,10,295,"Auction"
2023-03-07,10,278.89,"Auction"
2023-03-06,9,149.39,"Auction"
2023-03-06,9,260,"Auction"
2023-03-05,10,48.57,"Auction"
2023-03-03,10,70.5,"Auction"
2023-02-26,10,51,"Auction"
2023-02-18,10,54,"Auction"
2023-02-18,8,13.8,"Auction"
2023-02-05,10,55,"Auction"
2023-01-30,10,53,"Auction"
2023-01-30,10,285,"Auction"
2023-01-30,10,305,"Auction"
2023-01-29,10,285,"Auction"
2023-01-28,10,317,"Auction"
2023-01-27,10,318,"Auction"
2023-01-26,10,280,"Auction"
2023-01-24,10,306,"Auction"
2023-01-23,10,305,"Auction"
2023-01-23,10,305,"Auction"
2023-01-23,8,198,"Auction"
2023-01-22,9,147.52,"Auction"
2023-01-22,6,81,"Auction"
2023-01-20,10,280,"Auction"
2023-01-20,10,310,"Auction"
2023-01-19,10,293,"Auction"
2023-01-18,10,302,"Auction"
2023-01-18,10,303,"Auction"
2023-01-18,10,300.01,"Auction"
2023-01-18,10,271.12,"Auction"
2023-01-16,10,320,"Auction"
2023-01-15,10,395,"Auction"
2023-01-15,9,201,"Auction"
2023-01-15,10,315,"Auction"
2023-01-14,10,320,"Auction"
2023-01-14,10,340,"Auction"
2023-01-02,7,13.5,"Auction"
2022-12-30,10,75,"Auction"
2022-12-12,10,43.18,"Auction"
2022-12-04,8,21.67,"Auction"
2022-11-14,9,211.5,"Auction"
2022-11-04,10,345,"Auction"
2022-11-03,10,615.55,"Auction"
2022-11-02,10,355,"Auction"
2022-11-01,10,325,"Auction"
2022-11-01,10,573.74,"Auction"
2022-10-31,10,315,"Auction"
2022-10-31,10,325,"Auction"
2022-10-30,10,358,"Auction"
2022-10-30,10,330,"Auction"
2022-10-30,10,326.4,"Auction"
2022-10-30,10,150,"Auction"
2022-10-30,10,336,"Auction"
2022-10-29,10,305,"Auction"
