"Date","Grade","Price","Sale Type"
2023-04-19,8,27,"Auction"
2023-04-19,10,125.5,"Auction"
2023-04-19,10,137.5,"Auction"
2023-04-10,9,38,"Auction"
2023-04-09,9,57,"Auction"
2023-04-05,9,51.32,"Auction"
2023-04-05,9,50,"Auction"
2023-04-05,9,59.56,"Auction"
2023-04-04,10,103.5,"Auction"
2023-04-02,9,68.55,"Auction"
2023-04-02,9,51.93,"Auction"
2023-04-02,7,38.54,"Auction"
2023-04-02,8,41.02,"Auction"
2023-03-30,9,59,"Auction"
2023-03-30,10,127.5,"Auction"
2023-03-29,10,112.5,"Auction"
2023-03-28,10,122,"Auction"
2023-03-27,10,117.5,"Auction"
2023-03-27,9,45,"Auction"
2023-03-27,10,182.72,"Auction"
2023-03-26,9,52.07,"Auction"
2023-03-26,10,114.5,"Auction"
2023-03-26,10,185,"Auction"
2023-03-26,10,120.79,"Auction"
2023-03-26,10,132.5,"Auction"
2023-03-16,9,47,"Auction"
2023-03-15,10,150.5,"Auction"
2023-03-12,9,59,"Auction"
2023-03-11,9,50,"Auction"
2023-03-11,8,26,"Auction"
2023-03-10,10,110,"Auction"
2023-03-10,9,41,"Auction"
2023-03-08,10,131.5,"Auction"
2023-03-07,9,46,"Auction"
2023-03-07,10,139.5,"Auction"
2023-03-07,10,150.5,"Auction"
2023-03-06,9,48,"Auction"
2023-03-05,9,44.37,"Auction"
2023-03-05,8,30,"Auction"
2023-03-05,10,117.5,"Auction"
2023-03-05,10,130.5,"Auction"
2023-03-05,9,43.12,"Auction"
2023-03-04,9,60,"Auction"
2023-03-03,9,41,"Auction"
2023-03-03,10,119.36,"Auction"
2023-03-03,9,58,"Auction"
2023-03-02,9,65,"Auction"
2023-03-02,9,62,"Auction"
2023-03-02,9,60,"Auction"
2023-03-02,10,140,"Auction"
2023-01-28,9,48,"Auction"
2023-01-25,10,102.78,"Auction"
2023-01-24,9,61,"Auction"
2023-01-24,10,102.5,"Auction"
2023-01-24,10,115,"Auction"
2023-01-23,7,25.02,"Auction"
2023-01-23,9,46,"Auction"
2023-01-23,9,43,"Auction"
2023-01-22,10,125,"Auction"
2023-01-22,8,38,"Auction"
2023-01-22,9,42,"Auction"
2023-01-22,9,59,"Auction"
2023-01-22,9,50,"Auction"
2023-01-22,9,52.5,"Auction"
2023-01-21,10,110,"Auction"
2023-01-20,9,58,"Auction"
2023-01-19,8,32,"Auction"
2023-01-19,10,137.5,"Auction"
2023-01-16,10,130,"Auction"
2023-01-16,9,51,"Auction"
2023-01-16,9,57,"Auction"
2023-01-16,10,122.5,"Auction"
2023-01-16,9,44.99,"Auction"
2023-01-15,8,41.02,"Auction"
2023-01-15,9,46,"Auction"
2022-11-08,5,20.5,"Auction"
2022-11-05,9,53.51,"Auction"
2022-11-03,9,40.02,"Auction"
2022-11-03,10,118.1,"Auction"
2022-11-03,8,75,"Auction"
2022-11-02,10,102.5,"Auction"
2022-11-02,9,55,"Auction"
2022-11-02,10,227.5,"Auction"
2022-11-02,9,41,"Auction"
2022-11-01,8,46.02,"Auction"
2022-10-31,9,51,"Auction"
2022-10-31,9,52,"Auction"
2022-10-31,10,115.5,"Auction"
2022-10-31,9,72.85,"Auction"
2022-10-31,10,117.5,"Auction"
2022-10-30,9,42,"Auction"
2022-10-30,10,176.5,"Auction"
2022-10-29,9,55,"Auction"
2022-10-28,9,31,"Auction"
2022-10-27,9,66,"Auction"
2022-10-27,9,62,"Auction"
2022-10-27,9,59.99,"Auction"
2022-10-27,9,65,"Auction"
2022-10-27,10,250,"Auction"
2022-10-27,10,167.7,"Auction"
2022-10-05,9,47,"Auction"
2022-09-29,9,41.59,"Auction"
2022-09-27,8,51,"Auction"
2022-09-20,8,45.02,"Auction"
2022-09-20,10,138.5,"Auction"
2022-09-20,10,138.5,"Auction"
2022-09-20,10,138.5,"Auction"
2022-09-20,9,55,"Auction"
2022-09-19,9,59,"Auction"
2022-09-18,10,133.28,"Auction"
2022-09-18,10,114.5,"Auction"
2022-09-17,10,150,"Auction"
2022-09-16,10,125.5,"Auction"
2022-09-16,9,61,"Auction"
2022-09-15,9,57,"Auction"
2022-09-13,10,134.5,"Auction"
2022-09-13,8,41,"Auction"
2022-09-13,9,42,"Auction"
2022-09-13,10,125.5,"Auction"
2022-09-13,10,137.5,"Auction"
2022-09-13,10,142.5,"Auction"
2022-09-12,10,133.5,"Auction"
2022-09-12,8,53,"Auction"
2022-09-11,8,41.02,"Auction"
2022-09-11,9,61,"Auction"
2022-06-07,10,150.01,"Auction"
