"Date","Grade","Price","Sale Type"
2023-04-20,7,44.37,"Auction"
2023-04-18,9,157.5,"Auction"
2023-04-18,7,46,"Auction"
2023-04-18,7,37,"Auction"
2023-04-18,8,36,"Auction"
2023-04-10,8,86,"Auction"
2023-04-09,7,50,"Auction"
2023-04-06,8,53,"Auction"
2023-04-05,3,20,"Auction"
2023-04-05,2,20.5,"Auction"
2023-04-05,9,81,"Auction"
2023-04-04,8,47.5,"Auction"
2023-04-03,4,21.5,"Auction"
2023-04-02,8,42,"Auction"
2023-04-02,9,135.5,"Auction"
2023-04-02,9,107.5,"Auction"
2023-04-02,9,142.5,"Auction"
2023-03-31,7,41,"Auction"
2023-03-31,9,156,"Auction"
2023-03-29,8,43,"Auction"
2023-03-27,7,14.5,"Auction"
2023-03-27,4,19.99,"Auction"
2023-03-27,8,33,"Auction"
2023-03-27,4,21.5,"Auction"
2023-03-26,8,36,"Auction"
2023-03-17,5,18.5,"Auction"
2023-03-16,9,132.5,"Auction"
2023-03-14,9,71,"Auction"
2023-03-14,9,122.5,"Auction"
2023-03-13,5,8.35,"Auction"
2023-03-13,6,43.56,"Auction"
2023-03-12,8,61,"Auction"
2023-03-09,9,96,"Auction"
2023-03-08,5,28,"Auction"
2023-03-06,8,50,"Auction"
2023-03-06,7,18.35,"Auction"
2023-03-06,10,710,"Auction"
2023-03-06,7,34,"Auction"
2023-03-06,7,51,"Auction"
2023-03-06,4,15.5,"Auction"
2023-03-06,9,117.5,"Auction"
2023-03-06,9,60,"Auction"
2023-03-05,9,321.15,"Auction"
2023-03-05,7,36,"Auction"
2023-03-05,6,26,"Auction"
2023-03-04,8,50,"Auction"
2023-03-04,6,23.5,"Auction"
2023-03-04,7,70,"Auction"
2023-03-03,4,16.05,"Auction"
2023-03-03,4,14.01,"Auction"
2023-01-27,9,150,"Auction"
2023-01-24,8,78,"Auction"
2023-01-24,8,56,"Auction"
2023-01-23,5,46,"Auction"
2023-01-23,8,20.5,"Auction"
2023-01-23,9,99.99,"Auction"
2023-01-22,6,28,"Auction"
2023-01-22,8,53.51,"Auction"
2023-01-20,5,27,"Auction"
2023-01-20,6,33,"Auction"
2023-01-19,8,51,"Auction"
2023-01-19,6,24.99,"Auction"
2023-01-18,8,77,"Auction"
2023-01-18,5,22.5,"Auction"
2023-01-17,5,21.5,"Auction"
2023-01-17,8,88.72,"Auction"
2023-01-16,5,34.99,"Auction"
2023-01-16,8,85.13,"Auction"
2023-01-16,6,29.24,"Auction"
2023-01-16,5,15.99,"Auction"
2023-01-16,7,67.41,"Auction"
2023-01-16,9,102.5,"Auction"
2023-01-16,9,167.5,"Auction"
2023-01-16,3,27,"Auction"
2023-01-16,3,13.5,"Auction"
2022-11-13,9,105,"Auction"
2022-11-13,7,60.97,"Auction"
2022-11-07,8,61.36,"Auction"
2022-11-03,5,23.5,"Auction"
2022-11-03,8,46,"Auction"
2022-11-03,5,11.5,"Auction"
2022-11-03,6,13.5,"Auction"
2022-11-03,9,102.5,"Auction"
2022-10-31,4,20.5,"Auction"
2022-10-31,5,19.75,"Auction"
2022-10-31,7,44.99,"Auction"
2022-10-31,6,12.52,"Auction"
2022-10-31,8,63,"Auction"
2022-10-30,7,36,"Auction"
2022-10-30,5,27.27,"Auction"
2022-10-29,8,51,"Auction"
2022-10-28,9,120.5,"Auction"
2022-10-28,7,19.5,"Auction"
2022-10-28,9,152.5,"Auction"
2022-10-27,5,20.5,"Auction"
2022-10-26,8,61,"Auction"
2022-10-26,5,20.5,"Auction"
2022-10-26,6,21.5,"Auction"
2022-10-26,6,27,"Auction"
2022-10-24,5,19,"Auction"
2022-10-24,7,38,"Auction"
2022-10-24,7,46,"Auction"
2022-10-04,6,31,"Auction"
2022-09-25,5,5.52,"Auction"
2022-09-19,8,74,"Auction"
2022-09-19,7,21.5,"Auction"
2022-09-18,6,30,"Auction"
2022-09-17,7,52.59,"Auction"
2022-09-17,6,23.5,"Auction"
2022-09-15,6,14.03,"Auction"
2022-09-14,8,59,"Auction"
2022-09-14,5,25,"Auction"
2022-09-14,7,51,"Auction"
2022-09-13,4,32,"Auction"
2022-09-12,9,121.51,"Auction"
2022-09-11,4,28,"Auction"
2022-09-11,7,30,"Auction"
2022-09-11,8,64,"Auction"
2022-09-08,6,50,"Auction"
2022-09-06,4,16.5,"Auction"
2022-09-06,6,19.5,"Auction"
2022-09-04,6,26,"Auction"
2022-06-12,7,28.14,"Auction"
2022-06-11,6,19.99,"Auction"
2022-06-09,5,39,"Auction"
2022-06-08,5,34,"Auction"
2022-06-07,5,27,"Auction"
2022-06-07,6,22.5,"Auction"
2022-06-07,8,41,"Auction"
2022-06-07,9,75.88,"Auction"
2022-06-07,7,30,"Auction"
2022-06-07,9,104.5,"Auction"
2022-06-07,9,116.5,"Auction"
2022-06-06,5,21.5,"Auction"
2022-06-05,5,17.5,"Auction"
2022-06-03,5,26,"Auction"
2022-06-01,6,22.5,"Auction"
2022-05-30,7,34.99,"Auction"
2022-05-28,5,10.52,"Auction"
2022-05-19,8,67.31,"Auction"
2022-05-18,8,68,"Auction"
2022-05-18,10,910,"Auction"
2022-05-18,7,26.77,"Auction"
2022-05-16,9,76.5,"Auction"
2022-05-16,8,60,"Auction"
2022-05-15,6,29.99,"Auction"
2022-05-13,3,20.5,"Auction"
2022-05-12,4,119.76,"Auction"
2022-05-09,9,110.5,"Auction"
2022-05-08,9,120,"Auction"
2022-05-05,5,15.5,"Auction"
2022-05-05,8,49,"Auction"
2022-05-05,7,46,"Auction"
2022-03-22,4,22.5,"Auction"
2022-03-22,4,12.5,"Auction"
2022-03-22,6,19.5,"Auction"
2022-03-22,6,19.46,"Auction"
2022-03-14,7,24.5,"Auction"
2022-02-25,9,157.5,"Auction"
2022-02-25,8,52.68,"Auction"
2022-02-24,9,152.5,"Auction"
2022-02-24,8,49,"Auction"
2022-02-24,8,61,"Auction"
2022-02-18,3,17.5,"Auction"
2022-02-16,7,48,"Auction"
2022-02-16,4,18,"Auction"
2022-02-15,8,26,"Auction"
2022-02-15,10,730,"Auction"
2022-02-12,7,63.06,"Auction"
2022-02-07,9,127.5,"Auction"
2022-02-05,8,67,"Auction"
2022-02-02,5,16.5,"Auction"
2022-02-02,8,48,"Auction"
2022-02-01,9,94,"Auction"
2022-01-31,6,35.5,"Auction"
2022-01-31,5,25,"Auction"
2022-01-31,9,132.5,"Auction"
2022-01-30,6,31,"Auction"
2022-01-30,7,53.24,"Auction"
2022-01-30,9,137.5,"Auction"
2022-01-29,6,27,"Auction"
2022-01-29,3,25,"Auction"
2021-10-04,5,15.52,"Auction"
2021-10-04,8,51,"Auction"
2021-10-04,6,17.5,"Auction"
2021-10-04,9,113.5,"Auction"
2021-10-04,8,105.6,"Auction"
2021-10-04,9,486.05,"Auction"
2021-10-04,5,18.5,"Auction"
2021-10-04,6,19.5,"Auction"
2021-10-03,7,48.62,"Auction"
2021-10-03,8,51,"Auction"
2021-10-03,7,48,"Auction"
2021-10-03,5,14.75,"Auction"
2021-10-02,9,190,"Auction"
2021-10-02,9,149.99,"Auction"
2021-10-01,8,29.21,"Auction"
2021-10-01,7,25.25,"Auction"
2021-10-01,9,103.8,"Auction"
2021-10-01,9,101.83,"Auction"
2021-09-30,8,41,"Auction"
2021-09-30,7,31,"Auction"
2021-09-30,8,61,"Auction"
2021-09-30,5,26,"Auction"
2021-09-29,5,31,"Auction"
2021-09-28,5,38,"Auction"
2021-09-28,6,36,"Auction"
2021-09-02,3,28,"Auction"
2021-09-02,10,582,"Auction"
2021-09-01,6,28,"Auction"
2021-09-01,8,50,"Auction"
2021-09-01,6,32.9,"Auction"
2021-09-01,8,36,"Auction"
2021-09-01,5,20.52,"Auction"
2021-08-29,6,102.5,"Auction"
2021-08-26,5,24.5,"Auction"
2021-08-23,5,23.5,"Auction"
2021-08-23,9,164.5,"Auction"
2021-08-22,9,224.5,"Auction"
2021-08-22,8,52,"Auction"
2021-08-22,3,21.5,"Auction"
2021-08-21,6,38,"Auction"
2021-08-21,7,45,"Auction"
2021-08-20,9,152.5,"Auction"
2021-08-20,8,97,"Auction"
2021-08-20,7,51,"Auction"
2021-08-20,9,117.5,"Auction"
2021-08-19,6,53.65,"Auction"
2021-08-19,7,55,"Auction"
2021-08-17,7,46,"Auction"
2021-08-17,7,49,"Auction"
2021-08-16,9,157.5,"Auction"
2021-08-12,9,182.5,"Auction"
2021-08-12,9,155.5,"Auction"
2021-08-11,8,71,"Auction"
2021-08-09,6,33,"Auction"
2021-08-09,7,53,"Auction"
2021-08-08,3,24.95,"Auction"
2021-08-07,4,20.5,"Auction"
2021-08-07,9,157,"Auction"
2021-08-07,6,15.5,"Auction"
2021-08-06,8,102.5,"Auction"
2021-08-05,7,66,"Auction"
2021-08-04,9,224.5,"Auction"
2021-08-04,9,152,"Auction"
2021-08-04,6,35,"Auction"
2021-08-03,5,50,"Auction"
2021-08-03,7,64,"Auction"
2021-08-02,9,125,"Auction"
2021-07-31,7,39,"Auction"
2021-07-31,6,37.79,"Auction"
2021-07-29,6,75.2,"Auction"
2021-07-28,9,191.5,"Auction"
2021-07-28,9,163.5,"Auction"
