"Date","Grade","Price","Sale Type"
2023-03-20,9,260,"Auction"
2023-03-20,9,220.5,"Auction"
2023-03-19,3,51,"Auction"
2023-03-19,5,62.5,"Auction"
2023-03-19,8,188.16,"Auction"
2023-03-19,6,81,"Auction"
2023-03-19,8,117.5,"Auction"
2023-03-18,9,230.78,"Auction"
2023-03-14,7,80,"Auction"
2023-03-14,9,255,"Auction"
2023-03-14,6,62,"Auction"
2023-03-14,9,260,"Auction"
2023-03-13,8,115.5,"Auction"
2023-03-12,9,435.64,"Auction"
2023-03-12,7,81,"Auction"
2023-03-11,8,155,"Auction"
2023-03-11,8,117.5,"Auction"
2023-03-10,6,51,"Auction"
2023-03-09,8,140,"Auction"
2023-03-09,8,135.5,"Auction"
2023-03-06,8,139.5,"Auction"
2023-03-06,6,63,"Auction"
2023-03-05,7,225,"Auction"
2023-03-05,8,141,"Auction"
2023-03-05,3,72,"Auction"
2022-11-15,7,122.48,"Auction"
2022-11-14,7,118.17,"Auction"
2022-11-03,4,32,"Auction"
2022-11-03,9,255,"Auction"
2022-11-02,8,134.5,"Auction"
2022-11-02,6,67,"Auction"
2022-11-02,10,1057,"Auction"
2022-11-01,5,41,"Auction"
2022-11-01,8,161.68,"Auction"
2022-10-31,8,120,"Auction"
2022-10-31,7,77.76,"Auction"
2022-10-31,8,127.5,"Auction"
2022-10-31,3,31,"Auction"
2022-10-31,6,96,"Auction"
2022-10-31,6,115.64,"Auction"
2022-10-31,8,127.5,"Auction"
2022-10-31,5,47,"Auction"
2022-10-30,7,89,"Auction"
2022-10-30,7,103,"Auction"
2022-10-30,4,40.01,"Auction"
2022-10-30,8,112.5,"Auction"
2022-10-28,9,245,"Auction"
2022-10-28,9,260,"Auction"
2022-10-28,7,60,"Auction"
2022-10-28,5,55,"Auction"
2022-10-27,9,285,"Auction"
2022-10-25,8,157.53,"Auction"
2022-10-05,9,292,"Auction"
2022-09-21,7,87,"Auction"
2022-09-19,5,46,"Auction"
2022-09-18,7,132.5,"Auction"
2022-09-18,9,291,"Auction"
2022-09-18,9,405,"Auction"
2022-09-18,7,117.76,"Auction"
2022-09-18,9,303,"Auction"
2022-09-18,9,300,"Auction"
2022-09-18,7,127.77,"Auction"
2022-09-17,10,910,"Auction"
2022-09-17,6,75,"Auction"
2022-09-17,10,960,"Auction"
2022-09-17,3,33.89,"Auction"
2022-09-15,7,125,"Auction"
2022-09-14,5,41.59,"Auction"
2022-09-14,8,179.99,"Auction"
2022-09-12,2,36,"Auction"
2022-09-11,8,179.5,"Auction"
2022-09-11,7,85,"Auction"
2022-09-11,10,949,"Auction"
2022-09-11,5,56.6,"Auction"
2022-09-10,5,79,"Auction"
2022-09-09,9,270,"Auction"
2022-09-09,8,132.5,"Auction"
2022-07-07,10,989.97,"Auction"
2022-06-09,7,105.5,"Auction"
2022-06-08,9,313.09,"Auction"
2022-06-07,7,111.02,"Auction"
2022-06-07,6,109.84,"Auction"
2022-06-07,5,43,"Auction"
2022-06-05,7,137.5,"Auction"
2022-06-05,5,36.25,"Auction"
2022-06-03,2,26.5,"Auction"
2022-06-02,10,1488.76,"Auction"
2022-06-01,9,291.24,"Auction"
2022-05-31,7,101,"Auction"
2022-05-27,7,114.98,"Auction"
2022-05-24,10,1900,"Auction"
2022-05-20,5,31.5,"Auction"
2022-05-18,8,170.5,"Auction"
2022-05-17,10,1425,"Auction"
2022-05-16,7,85,"Auction"
2022-05-15,8,134.5,"Auction"
2022-05-10,8,163.5,"Auction"
2022-05-09,10,1327,"Auction"
2022-05-09,10,1302,"Auction"
2022-05-09,6,108.25,"Auction"
2022-05-07,5,49,"Auction"
2022-05-06,2,27,"Auction"
2022-05-06,1,137.5,"Auction"
2022-05-06,4,36,"Auction"
2022-04-05,9,315,"Auction"
2022-03-29,10,1750,"Auction"
2022-03-15,6,55,"Auction"
2022-03-15,8,212.5,"Auction"
2022-03-14,7,102.5,"Auction"
2022-02-25,5,45,"Auction"
2022-02-21,5,50,"Auction"
2022-02-18,4,56,"Auction"
2022-02-17,7,117.5,"Auction"
2022-02-17,5,41.02,"Auction"
2022-02-15,8,177.5,"Auction"
2022-02-15,7,105.27,"Auction"
2022-02-15,6,76,"Auction"
2022-02-15,7,122.5,"Auction"
2022-02-15,7,100.52,"Auction"
2022-02-15,7,118.5,"Auction"
2022-02-05,5,54,"Auction"
2022-02-03,4,45,"Auction"
2022-02-01,9,300,"Auction"
2022-01-31,5,71,"Auction"
2022-01-31,5,7.5,"Auction"
2022-01-31,9,273,"Auction"
2022-01-28,7,100,"Auction"
2022-01-28,7,97,"Auction"
2022-01-28,9,255,"Auction"
2022-01-28,9,154.5,"Auction"
2022-01-28,6,48.8,"Auction"
2022-01-28,6,52,"Auction"
2022-01-26,4,55,"Auction"
2022-01-26,9,335,"Auction"
2022-01-09,9,202.5,"Auction"
2022-01-09,4,48.55,"Auction"
2022-01-07,8,232.5,"Auction"
2022-01-06,8,150,"Auction"
2022-01-06,6,73,"Auction"
2022-01-06,5,61,"Auction"
2022-01-05,6,83,"Auction"
2022-01-05,9,393.43,"Auction"
2022-01-04,6,102.92,"Auction"
2022-01-04,5,63,"Auction"
2022-01-04,5,152.5,"Auction"
2022-01-04,8,165,"Auction"
2022-01-03,5,41,"Auction"
2022-01-03,8,221.5,"Auction"
2022-01-03,8,178.5,"Auction"
2022-01-02,7,109.99,"Auction"
2022-01-02,9,300.74,"Auction"
2022-01-02,6,77,"Auction"
2022-01-02,6,48,"Auction"
2022-01-02,5,90.98,"Auction"
